Station Number,Station Name,Station Name,Station Name,Station Name of Snow,Station Name of Snow,Station Name of Snow,Latitude_Precipitation,Longitude_Precipitation,Altitude_Precipitation,Height of Anemometer,,,Latitude_Snow,Longitude_Snow,Altitude_Snow,Precipitation,Wind Speed,Temperature,Sunshine Duration,Depth of Snow Cover,,Humidity,Start Date,End Date,Old Station Number,Disconnection of Precipitation,Disconnection of Wind Speed,Disconnection of Temperature,Disconnection of Sunshine Duration,Disconnection of Depth of Snow Cover,,Disconnection of Humidity
11016,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,　　　　　　　　　　,               ,                              ,45.415,141.678,0003,023.4,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1986-01-01,1999-02-28,11016, 0, 0, 0, 1, 0,  , 0
11016,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,45.415,141.678,0003,023.4,     ,      ,45.415,141.678,0003,1,1,1,1,1, ,0,1999-03-01,2008-03-25,11016, 0, 0, 0, 0, 0,  , 0
11016,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,45.415,141.678,0003,023.4,     ,      ,45.415,141.678,0003,1,1,1,1,1, ,0,2008-03-26,2011-07-27,11016, 0, 4, 4, 0, 0,  , 0
11016,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,45.415,141.678,0003,023.5,     ,      ,45.415,141.678,0003,1,1,1,1,1, ,0,2011-07-28,2021-03-01,11016, 0, 0, 0, 0, 0,  , 0
11016,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,45.415,141.678,0003,023.5,     ,      ,45.415,141.678,0003,1,1,1,1,1, ,1,2021-03-02,2021-03-10,11016, 0, 0, 0, 0, 0,  , 0
11016,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,稚内　　　　　　　　,ﾜｯｶﾅｲ          ,WAKKANAI                      ,45.415,141.678,0003,024.1,     ,      ,45.415,141.678,0003,1,1,1,1,1, ,1,2021-03-11,9999-99-99,11016, 0, 0, 0, 0, 0,  , 0
11046,礼文　　　　　　　　,ﾚﾌﾞﾝ           ,REBUN                         ,　　　　　　　　　　,               ,                              ,45.305,141.045,0065,006.5,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,2003-10-17,2005-11-02,11046, 1, 1, 1, 1, 1,  , 1
11046,礼文　　　　　　　　,ﾚﾌﾞﾝ           ,REBUN                         ,　　　　　　　　　　,               ,                              ,45.305,141.045,0065,006.5,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,2005-11-03,2008-10-23,11046, 0, 0, 0, 4, 0,  , 0
11046,礼文　　　　　　　　,ﾚﾌﾞﾝ           ,REBUN                         ,　　　　　　　　　　,               ,                              ,45.305,141.045,0065,006.5,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,2008-10-24,2021-03-01,11046, 0, 4, 4, 0, 0,  , 0
11046,礼文　　　　　　　　,ﾚﾌﾞﾝ           ,REBUN                         ,　　　　　　　　　　,               ,                              ,45.305,141.045,0065,006.5,     ,      ,      ,       ,    ,1,1,1,2,0, ,0,2021-03-02,2021-07-04,11046, 0, 0, 0, 6, 0,  , 0
11046,礼文　　　　　　　　,ﾚﾌﾞﾝ           ,REBUN                         ,　　　　　　　　　　,               ,                              ,45.305,141.045,0065,010.0,     ,      ,      ,       ,    ,1,1,1,2,0, ,0,2021-07-05,2021-10-25,11046, 0, 0, 0, 0, 0,  , 0
11046,礼文　　　　　　　　,ﾚﾌﾞﾝ           ,REBUN                         ,　　　　　　　　　　,               ,                              ,45.305,141.045,0065,009.9,     ,      ,      ,       ,    ,1,1,1,2,0, ,1,2021-10-26,9999-99-99,11046, 0, 0, 0, 0, 0,  , 0
11061,声問　　　　　　　　,ｺｴﾄｲ           ,KOETOI                        ,　　　　　　　　　　,               ,                              ,45.403,141.800,0008,008.0,     ,      ,      ,       ,    ,1,1,1,0,0, ,0,2003-01-01,2006-11-28,11061, 1, 1, 1, 1, 1,  , 1
11061,声問　　　　　　　　,ｺｴﾄｲ           ,KOETOI                        ,声問　　　　　　　　,ｺｴﾄｲ           ,KOETOI                        ,45.403,141.800,0008,008.0,     ,      ,45.403,141.800,0008,1,1,1,0,1, ,0,2006-11-29,2009-01-28,11061, 0, 0, 0, 0, 0,  , 0
11061,声問　　　　　　　　,ｺｴﾄｲ           ,KOETOI                        ,声問　　　　　　　　,ｺｴﾄｲ           ,KOETOI                        ,45.403,141.800,0008,008.0,     ,      ,45.403,141.800,0008,1,1,1,0,1, ,0,2009-01-29,2009-11-18,11061, 0, 4, 4, 0, 0,  , 0
11061,声問　　　　　　　　,ｺｴﾄｲ           ,KOETOI                        ,声問　　　　　　　　,ｺｴﾄｲ           ,KOETOI                        ,45.403,141.802,0008,008.0,     ,      ,45.403,141.802,0008,1,1,1,0,1, ,0,2009-11-19,2017-11-08,11061, 0, 0, 0, 0, 0,  , 0
11061,声問　　　　　　　　,ｺｴﾄｲ           ,KOETOI                        ,声問　　　　　　　　,ｺｴﾄｲ           ,KOETOI                        ,45.403,141.802,0008,010.0,     ,      ,45.403,141.802,0008,1,1,1,0,1, ,0,2017-11-09,9999-99-99,11061, 0, 0, 0, 0, 0,  , 0
11076,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,　　　　　　　　　　,               ,                              ,45.335,142.170,0013,006.5,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1978-10-30,1983-09-29,11076, 1, 1, 1, 1, 1,  , 1
11076,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,45.335,142.170,0013,006.5,     ,      ,45.335,142.170,0013,1,1,1,1,1, ,0,1983-09-30,1987-10-22,11076, 0, 0, 0, 0, 0,  , 0
11076,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,45.335,142.170,0013,006.5,     ,      ,45.335,142.170,0013,1,1,1,1,1, ,0,1987-10-23,2006-10-12,11076, 0, 0, 0, 1, 0,  , 0
11076,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,45.335,142.170,0013,006.5,     ,      ,45.335,142.170,0013,1,1,1,1,1, ,0,2006-10-13,2008-09-11,11076, 0, 0, 0, 4, 0,  , 0
11076,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,45.335,142.170,0013,006.5,     ,      ,45.335,142.170,0013,1,1,1,1,1, ,0,2008-09-12,2021-03-01,11076, 0, 4, 4, 0, 0,  , 0
11076,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,45.335,142.170,0013,006.5,     ,      ,45.335,142.170,0013,1,1,1,2,1, ,0,2021-03-02,2023-08-08,11076, 0, 0, 0, 6, 0,  , 0
11076,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,45.335,142.170,0013,010.0,     ,      ,45.335,142.170,0013,1,1,1,2,1, ,0,2023-08-09,2023-09-18,11076, 0, 0, 0, 0, 0,  , 0
11076,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,浜鬼志別　　　　　　,ﾊﾏｵﾆｼﾍﾞﾂ       ,HAMAONISHIBETSU               ,45.335,142.170,0013,009.9,     ,      ,45.335,142.170,0013,1,1,1,2,1, ,1,2023-09-19,9999-99-99,11076, 0, 0, 0, 0, 0,  , 0
11091,本泊　　　　　　　　,ﾓﾄﾄﾞﾏﾘ         ,MOTODOMARI                    ,　　　　　　　　　　,               ,                              ,45.242,141.187,0030,007.6,     ,      ,      ,       ,    ,1,1,1,0,0, ,0,2003-01-01,2009-01-28,11091, 1, 1, 1, 1, 1,  , 1
11091,本泊　　　　　　　　,ﾓﾄﾄﾞﾏﾘ         ,MOTODOMARI                    ,　　　　　　　　　　,               ,                              ,45.242,141.187,0030,007.6,     ,      ,      ,       ,    ,1,1,1,0,0, ,0,2009-01-29,2017-11-08,11091, 0, 4, 4, 0, 0,  , 0
11091,本泊　　　　　　　　,ﾓﾄﾄﾞﾏﾘ         ,MOTODOMARI                    ,　　　　　　　　　　,               ,                              ,45.242,141.187,0030,010.0,     ,      ,      ,       ,    ,1,1,1,0,0, ,0,2017-11-09,9999-99-99,11091, 0, 0, 0, 0, 0,  , 0
11121,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,　　　　　　　　　　,               ,                              ,45.250,141.857,0015,008.0,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1977-10-20,1983-09-29,11121, 1, 1, 1, 1, 1,  , 1
11121,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,45.250,141.857,0015,008.0,     ,      ,45.248,141.852,0023,1,1,1,1,1, ,0,1983-09-30,1990-05-17,11121, 0, 0, 0, 0, 0,  , 0
11121,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,45.250,141.857,0015,008.0,     ,      ,45.248,141.852,0023,1,1,1,1,1, ,0,1990-05-18,1995-10-24,11121, 0, 0, 0, 1, 0,  , 0
11121,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,45.248,141.852,0023,008.0,     ,      ,45.248,141.852,0023,1,1,1,1,1, ,0,1995-10-25,2009-09-14,11121, 0, 0, 0, 0, 0,  , 0
11121,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,45.248,141.852,0023,008.0,     ,      ,45.248,141.852,0023,1,1,1,1,1, ,0,2009-09-15,2020-11-17,11121, 0, 4, 4, 4, 0,  , 0
11121,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,45.248,141.852,0023,010.0,     ,      ,45.248,141.852,0023,1,1,1,1,1, ,0,2020-11-18,2021-03-01,11121, 0, 0, 0, 0, 0,  , 0
11121,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,沼川　　　　　　　　,ﾇﾏｶﾜ           ,NUMAKAWA                      ,45.248,141.852,0023,010.0,     ,      ,45.248,141.852,0023,1,1,1,2,1, ,0,2021-03-02,9999-99-99,11121, 0, 0, 0, 6, 0,  , 0
11151,沓形　　　　　　　　,ｸﾂｶﾞﾀ          ,KUTSUGATA                     ,　　　　　　　　　　,               ,                              ,45.178,141.138,0014,     ,     ,      ,      ,       ,    ,1,0,0,0,0, ,0,1974-11-01,1977-10-23,11151, 1, 1, 1, 1, 1,  , 1
11151,沓形　　　　　　　　,ｸﾂｶﾞﾀ          ,KUTSUGATA                     ,　　　　　　　　　　,               ,                              ,45.178,141.138,0014,006.5,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1977-10-24,1987-06-09,11151, 0, 0, 0, 0, 0,  , 0
11151,沓形　　　　　　　　,ｸﾂｶﾞﾀ          ,KUTSUGATA                     ,　　　　　　　　　　,               ,                              ,45.178,141.138,0014,006.5,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1987-06-10,2006-10-02,11151, 0, 0, 0, 1, 0,  , 0
11151,沓形　　　　　　　　,ｸﾂｶﾞﾀ          ,KUTSUGATA                     ,　　　　　　　　　　,               ,                              ,45.178,141.138,0014,006.5,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,2006-10-03,2008-09-16,11151, 0, 0, 0, 4, 0,  , 0
11151,沓形　　　　　　　　,ｸﾂｶﾞﾀ          ,KUTSUGATA                     ,　　　　　　　　　　,               ,                              ,45.178,141.138,0014,006.5,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,2008-09-17,2021-03-01,11151, 0, 4, 4, 0, 0,  , 0
11151,沓形　　　　　　　　,ｸﾂｶﾞﾀ          ,KUTSUGATA                     ,　　　　　　　　　　,               ,                              ,45.178,141.138,0014,006.5,     ,      ,      ,       ,    ,1,1,1,2,0, ,0,2021-03-02,2021-07-05,11151, 0, 0, 0, 6, 0,  , 0
11151,沓形　　　　　　　　,ｸﾂｶﾞﾀ          ,KUTSUGATA                     ,　　　　　　　　　　,               ,                              ,45.178,141.138,0014,010.0,     ,      ,      ,       ,    ,1,1,1,2,0, ,0,2021-07-06,2021-10-27,11151, 0, 0, 0, 0, 0,  , 0
11151,沓形　　　　　　　　,ｸﾂｶﾞﾀ          ,KUTSUGATA                     ,　　　　　　　　　　,               ,                              ,45.178,141.138,0014,009.9,     ,      ,      ,       ,    ,1,1,1,2,0, ,1,2021-10-28,9999-99-99,11151, 0, 0, 0, 0, 0,  , 0
11176,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,　　　　　　　　　　,               ,                              ,45.102,141.778,0012,     ,     ,      ,      ,       ,    ,1,0,0,0,0, ,0,1975-05-29,1977-10-23,11176, 1, 1, 1, 1, 1,  , 1
11176,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,　　　　　　　　　　,               ,                              ,45.102,141.778,0012,006.5,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1977-10-24,1982-10-14,11176, 0, 0, 0, 0, 0,  , 0
11176,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,45.102,141.778,0012,006.5,     ,      ,45.102,141.778,0012,1,1,1,1,1, ,0,1982-10-15,1989-04-26,11176, 0, 0, 0, 0, 0,  , 0
11176,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,45.102,141.778,0012,006.5,     ,      ,45.102,141.778,0012,1,1,1,1,1, ,0,1989-04-27,2007-12-12,11176, 0, 0, 0, 1, 0,  , 0
11176,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,45.107,141.765,0016,010.0,     ,      ,45.107,141.765,0016,1,1,1,1,1, ,0,2007-12-13,2008-03-25,11176, 0, 0, 0, 4, 0,  , 0
11176,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,45.107,141.765,0016,010.0,     ,      ,45.107,141.765,0016,1,1,1,1,1, ,0,2008-03-26,2018-09-26,11176, 0, 4, 4, 0, 0,  , 0
11176,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,45.102,141.780,0014,010.0,     ,      ,45.102,141.780,0014,1,1,1,1,1, ,0,2018-09-27,2021-03-01,11176, 0, 0, 0, 0, 0,  , 0
11176,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,45.102,141.780,0014,010.0,     ,      ,45.102,141.780,0014,1,1,1,2,1, ,0,2021-03-02,2024-09-17,11176, 0, 0, 0, 6, 0,  , 0
11176,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,豊富　　　　　　　　,ﾄﾖﾄﾐ           ,TOYOTOMI                      ,45.102,141.780,0014,010.0,     ,      ,45.102,141.780,0014,1,1,1,2,1, ,1,2024-09-18,9999-99-99,11176, 0, 0, 0, 0, 0,  , 0
11206,浜頓別　　　　　　　,ﾊﾏﾄﾝﾍﾞﾂ        ,HAMATOMBETSU                  ,　　　　　　　　　　,               ,                              ,45.113,142.362,0013,     ,     ,      ,      ,       ,    ,1,0,0,0,0, ,0,1974-11-01,1977-10-18,11206, 1, 1, 1, 1, 1,  , 1
11206,浜頓別　　　　　　　,ﾊﾏﾄﾝﾍﾞﾂ        ,HAMATOMBETSU                  ,　　　　　　　　　　,               ,                              ,45.113,142.362,0013,006.5,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1977-10-19,1986-05-21,11206, 0, 0, 0, 0, 0,  , 0
11206,浜頓別　　　　　　　,ﾊﾏﾄﾝﾍﾞﾂ        ,HAMATOMBETSU                  ,　　　　　　　　　　,               ,                              ,45.113,142.362,0013,006.5,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1986-05-22,2004-12-15,11206, 0, 0, 0, 1, 0,  , 0
11206,浜頓別　　　　　　　,ﾊﾏﾄﾝﾍﾞﾂ        ,HAMATOMBETSU                  ,　　　　　　　　　　,               ,                              ,45.113,142.362,0013,008.0,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,2004-12-16,2008-10-27,11206, 0, 0, 0, 0, 0,  , 0
11206,浜頓別　　　　　　　,ﾊﾏﾄﾝﾍﾞﾂ        ,HAMATOMBETSU                  ,　　　　　　　　　　,               ,                              ,45.125,142.350,0018,010.0,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,2008-10-28,2021-03-01,11206, 0, 4, 4, 4, 0,  , 0
11206,浜頓別　　　　　　　,ﾊﾏﾄﾝﾍﾞﾂ        ,HAMATOMBETSU                  ,　　　　　　　　　　,               ,                              ,45.125,142.350,0018,010.0,     ,      ,      ,       ,    ,1,1,1,2,0, ,0,2021-03-02,2024-09-16,11206, 0, 0, 0, 6, 0,  , 0
11206,浜頓別　　　　　　　,ﾊﾏﾄﾝﾍﾞﾂ        ,HAMATOMBETSU                  ,　　　　　　　　　　,               ,                              ,45.125,142.350,0018,010.0,     ,      ,      ,       ,    ,1,1,1,2,0, ,1,2024-09-17,9999-99-99,11206, 0, 0, 0, 0, 0,  , 0
11276,中頓別　　　　　　　,ﾅｶﾄﾝﾍﾞﾂ        ,NAKATOMBETSU                  ,　　　　　　　　　　,               ,                              ,44.965,142.280,0025,     ,     ,      ,      ,       ,    ,1,0,0,0,0, ,0,1975-05-28,1977-10-18,11276, 1, 1, 1, 1, 1,  , 1
11276,中頓別　　　　　　　,ﾅｶﾄﾝﾍﾞﾂ        ,NAKATOMBETSU                  ,　　　　　　　　　　,               ,                              ,44.965,142.280,0025,008.0,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1977-10-19,1982-10-14,11276, 0, 0, 0, 0, 0,  , 0
11276,中頓別　　　　　　　,ﾅｶﾄﾝﾍﾞﾂ        ,NAKATOMBETSU                  ,中頓別　　　　　　　,ﾅｶﾄﾝﾍﾞﾂ        ,NAKATOMBETSU                  ,44.965,142.280,0025,008.0,     ,      ,44.965,142.280,0025,1,1,1,1,1, ,0,1982-10-15,1986-06-04,11276, 0, 0, 0, 0, 0,  , 0
11276,中頓別　　　　　　　,ﾅｶﾄﾝﾍﾞﾂ        ,NAKATOMBETSU                  ,中頓別　　　　　　　,ﾅｶﾄﾝﾍﾞﾂ        ,NAKATOMBETSU                  ,44.965,142.280,0025,008.0,     ,      ,44.965,142.280,0025,1,1,1,1,1, ,0,1986-06-05,2008-10-29,11276, 0, 0, 0, 1, 0,  , 0
11276,中頓別　　　　　　　,ﾅｶﾄﾝﾍﾞﾂ        ,NAKATOMBETSU                  ,中頓別　　　　　　　,ﾅｶﾄﾝﾍﾞﾂ        ,NAKATOMBETSU                  ,44.965,142.280,0025,010.2,     ,      ,44.965,142.280,0025,1,1,1,1,1, ,0,2008-10-30,2021-03-01,11276, 0, 4, 4, 4, 0,  , 0
11276,中頓別　　　　　　　,ﾅｶﾄﾝﾍﾞﾂ        ,NAKATOMBETSU                  ,中頓別　　　　　　　,ﾅｶﾄﾝﾍﾞﾂ        ,NAKATOMBETSU                  ,44.965,142.280,0025,010.2,     ,      ,44.965,142.280,0025,1,1,1,2,1, ,0,2021-03-02,9999-99-99,11276, 0, 0, 0, 6, 0,  , 0
11291,北見枝幸　　　　　　,ｷﾀﾐｴｻｼ         ,KITAMI-ESASHI                 ,　　　　　　　　　　,               ,                              ,44.940,142.585,0007,     ,     ,      ,      ,       ,    ,1,0,0,0,0, ,0,1974-11-01,1975-12-31,11291, 1, 1, 1, 1, 1,  , 1
11291,北見枝幸　　　　　　,ｷﾀﾐｴｻｼ         ,KITAMI-ESASHI                 ,　　　　　　　　　　,               ,                              ,44.940,142.585,0007,010.4,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1976-01-01,1987-12-31,11291, 0, 0, 0, 0, 0,  , 0
11291,北見枝幸　　　　　　,ｷﾀﾐｴｻｼ         ,KITAMI-ESASHI                 ,　　　　　　　　　　,               ,                              ,44.940,142.585,0007,010.4,     ,      ,      ,       ,    ,1,1,1,1,0, ,0,1988-01-01,1999-02-28,11291, 0, 0, 0, 1, 0,  , 0
11291,北見枝幸　　　　　　,ｷﾀﾐｴｻｼ         ,KITAMI-ESASHI                 ,北見枝幸　　　　　　,ｷﾀﾐｴｻｼ         ,KITAMI-ESASHI                 ,44.940,142.585,0007,010.4,     ,      ,44.940,142.585,0007,1,1,1,1,1, ,0,1999-03-01,2004-09-30,11291, 0, 0, 0, 0, 0,  , 0
11291,北見枝幸　　　　　　,ｷﾀﾐｴｻｼ         ,KITAMI-ESASHI                 ,北見枝幸　　　　　　,ｷﾀﾐｴｻｼ         ,KITAMI-ESASHI                 ,44.940,142.585,0007,016.9,     ,      ,44.940,142.585,0007,1,1,1,1,1, ,0,2004-10-01,2008-03-25,11291, 0, 0, 0, 0, 0,  , 0
