Station Number,Station Name,Station Name,Station Name,Station Name of Snow,Station Name of Snow,Station Name of Snow,Latitude_Precipitation,Longitude_Precipitation,Altitude_Precipitation,Height of Anemometer,,,Latitude_Snow,Longitude_Snow,Altitude_Snow,Start Date,End Date
12442,旭川　　　　　　　　,ｱｻﾋｶﾜ          ,ASAHIKAWA                     ,旭川　　　　　　　　,ｱｻﾋｶﾜ          ,ASAHIKAWA                     ,43.757,142.372,0120,047.0,     ,      ,43.757,142.372,0120,2021-03-18,9999-99-99
12451,東川　　　　　　　　,ﾋｶﾞｼｶﾜ         ,HIGASHIKAWA                   ,　　　　　　　　　　,               ,                              ,43.702,142.508,0215,010.0,     ,      ,      ,       ,    ,2021-03-18,9999-99-99
12551,美瑛　　　　　　　　,ﾋﾞｴｲ           ,BIEI                          ,美瑛　　　　　　　　,ﾋﾞｴｲ           ,BIEI                          ,43.588,142.493,0250,010.0,     ,      ,43.588,142.493,0250,2021-03-18,9999-99-99
12626,富良野　　　　　　　,ﾌﾗﾉ            ,FURANO                        ,富良野　　　　　　　,ﾌﾗﾉ            ,FURANO                        ,43.333,142.400,0174,009.9,     ,      ,43.333,142.400,0174,2021-03-18,9999-99-99
12632,麓郷　　　　　　　　,ﾛｸｺﾞｳ          ,ROKUGO                        ,　　　　　　　　　　,               ,                              ,43.302,142.522,0315,010.0,     ,      ,      ,       ,    ,2021-03-18,9999-99-99
12691,幾寅　　　　　　　　,ｲｸﾄﾗ           ,IKUTORA                       ,幾寅　　　　　　　　,ｲｸﾄﾗ           ,IKUTORA                       ,43.168,142.568,0350,009.9,     ,      ,43.168,142.568,0350,2021-03-18,9999-99-99
13061,天塩　　　　　　　　,ﾃｼｵ            ,TESHIO                        ,天塩　　　　　　　　,ﾃｼｵ            ,TESHIO                        ,44.893,141.762,0009,009.9,     ,      ,44.893,141.762,0009,2021-03-18,9999-99-99
13121,初山別　　　　　　　,ｼｮｻﾝﾍﾞﾂ        ,SHOSAMBETSU                   ,初山別　　　　　　　,ｼｮｻﾝﾍﾞﾂ        ,SHOSAMBETSU                   ,44.523,141.770,0027,009.9,     ,      ,44.523,141.770,0027,2021-03-18,9999-99-99
13146,焼尻　　　　　　　　,ﾔｷﾞｼﾘ          ,YAGISHIRI                     ,　　　　　　　　　　,               ,                              ,44.428,141.422,0038,010.0,     ,      ,      ,       ,    ,2021-03-18,9999-99-99
13181,羽幌　　　　　　　　,ﾊﾎﾞﾛ           ,HABORO                        ,羽幌　　　　　　　　,ﾊﾎﾞﾛ           ,HABORO                        ,44.363,141.700,0008,021.6,     ,      ,44.363,141.700,0008,2021-03-18,9999-99-99
13277,留萌　　　　　　　　,ﾙﾓｲ            ,RUMOI                         ,留萌　　　　　　　　,ﾙﾓｲ            ,RUMOI                         ,43.945,141.632,0024,016.3,     ,      ,43.945,141.632,0024,2021-03-18,9999-99-99
13311,増毛　　　　　　　　,ﾏｼｹ            ,MASHIKE                       ,　　　　　　　　　　,               ,                              ,43.848,141.510,0020,010.0,     ,      ,      ,       ,    ,2021-03-18,9999-99-99
14026,浜益　　　　　　　　,ﾊﾏﾏｽ           ,HAMAMASU                      ,　　　　　　　　　　,               ,                              ,43.582,141.387,0003,009.9,     ,      ,      ,       ,    ,2021-03-18,9999-99-99
14116,山口　　　　　　　　,ﾔﾏｸﾞﾁ          ,YAMAGUCHI                     ,　　　　　　　　　　,               ,                              ,43.148,141.222,0005,010.0,     ,      ,      ,       ,    ,2021-03-18,9999-99-99
14121,石狩　　　　　　　　,ｲｼｶﾘ           ,ISHIKARI                      ,石狩　　　　　　　　,ｲｼｶﾘ           ,ISHIKARI                      ,43.193,141.370,0005,010.1,     ,      ,43.193,141.370,0005,2021-03-18,9999-99-99
14163,札幌　　　　　　　　,ｻｯﾎﾟﾛ          ,SAPPORO                       ,札幌　　　　　　　　,ｻｯﾎﾟﾛ          ,SAPPORO                       ,43.060,141.328,0017,059.7,     ,      ,43.060,141.328,0017,2021-03-18,9999-99-99
14206,恵庭島松　　　　　　,ｴﾆﾜｼﾏﾏﾂ        ,ENIWA-SHIMAMATSU              ,恵庭島松　　　　　　,ｴﾆﾜｼﾏﾏﾂ        ,ENIWA-SHIMAMATSU              ,42.927,141.565,0030,009.9,     ,      ,42.927,141.565,0030,2021-03-18,9999-99-99
14286,支笏湖畔　　　　　　,ｼｺﾂｺﾊﾝ         ,SHIKOTSUKOHAN                 ,　　　　　　　　　　,               ,                              ,42.772,141.407,0290,010.0,     ,      ,      ,       ,    ,2021-03-18,9999-99-99
15041,朱鞠内　　　　　　　,ｼｭﾏﾘﾅｲ         ,SHUMARINAI                    ,朱鞠内　　　　　　　,ｼｭﾏﾘﾅｲ         ,SHUMARINAI                    ,44.282,142.162,0255,009.9,     ,      ,44.282,142.162,0255,2021-03-18,9999-99-99
15116,石狩沼田　　　　　　,ｲｼｶﾘﾇﾏﾀ        ,ISHIKARINUMATA                ,石狩沼田　　　　　　,ｲｼｶﾘﾇﾏﾀ        ,ISHIKARINUMATA                ,43.815,141.927,0063,009.9,     ,      ,43.815,141.927,0063,2021-03-18,9999-99-99
15156,秩父別　　　　　　　,ﾁｯﾌﾟﾍﾞﾂ        ,CHIPPUBETSU                   ,秩父別　　　　　　　,ﾁｯﾌﾟﾍﾞﾂ        ,CHIPPUBETSU                   ,43.780,141.962,0051,007.9,     ,      ,43.780,141.962,0051,2022-10-31,9999-99-99
15231,空知吉野　　　　　　,ｿﾗﾁﾖｼﾉ         ,SORACHIYOSHINO                ,　　　　　　　　　　,               ,                              ,43.595,141.732,0100,010.0,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
15241,滝川　　　　　　　　,ﾀｷｶﾜ           ,TAKIKAWA                      ,滝川　　　　　　　　,ﾀｷｶﾜ           ,TAKIKAWA                      ,43.570,141.938,0050,009.9,     ,      ,43.570,141.938,0050,2022-10-31,9999-99-99
15356,岩見沢　　　　　　　,ｲﾜﾐｻﾞﾜ         ,IWAMIZAWA                     ,岩見沢　　　　　　　,ｲﾜﾐｻﾞﾜ         ,IWAMIZAWA                     ,43.212,141.785,0042,022.1,     ,      ,43.212,141.785,0042,2022-10-31,9999-99-99
15431,長沼　　　　　　　　,ﾅｶﾞﾇﾏ          ,NAGANUMA                      ,　　　　　　　　　　,               ,                              ,43.012,141.693,0013,010.1,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
15442,夕張　　　　　　　　,ﾕｳﾊﾞﾘ          ,YUBARI                        ,夕張　　　　　　　　,ﾕｳﾊﾞﾘ          ,YUBARI                        ,43.038,141.957,0293,010.1,     ,      ,43.038,141.957,0293,2022-10-31,9999-99-99
16026,美国　　　　　　　　,ﾋﾞｸﾆ           ,BIKUNI                        ,　　　　　　　　　　,               ,                              ,43.272,140.563,0075,010.0,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
16061,神恵内　　　　　　　,ｶﾓｴﾅｲ          ,KAMOENAI                      ,　　　　　　　　　　,               ,                              ,43.145,140.423,0050,009.9,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
16076,余市　　　　　　　　,ﾖｲﾁ            ,YOICHI                        ,余市　　　　　　　　,ﾖｲﾁ            ,YOICHI                        ,43.182,140.758,0020,010.0,     ,      ,43.182,140.758,0020,2022-10-31,9999-99-99
16091,小樽　　　　　　　　,ｵﾀﾙ            ,OTARU                         ,小樽　　　　　　　　,ｵﾀﾙ            ,OTARU                         ,43.182,141.015,0025,013.6,     ,      ,43.182,141.015,0025,2022-10-31,9999-99-99
16156,共和　　　　　　　　,ｷｮｳﾜ           ,KYOWA                         ,共和　　　　　　　　,ｷｮｳﾜ           ,KYOWA                         ,42.980,140.603,0015,010.0,     ,      ,42.980,140.603,0015,2022-10-31,9999-99-99
16217,倶知安　　　　　　　,ｸｯﾁｬﾝ          ,KUTCHAN                       ,倶知安　　　　　　　,ｸｯﾁｬﾝ          ,KUTCHAN                       ,42.900,140.757,0176,030.8,     ,      ,42.900,140.757,0176,2022-10-31,9999-99-99
16252,寿都　　　　　　　　,ｽｯﾂ            ,SUTTSU                        ,寿都　　　　　　　　,ｽｯﾂ            ,SUTTSU                        ,42.795,140.223,0033,017.6,     ,      ,42.795,140.223,0033,2022-10-31,9999-99-99
17036,雄武　　　　　　　　,ｵｳﾑ            ,OMU                           ,雄武　　　　　　　　,ｵｳﾑ            ,OMU                           ,44.580,142.963,0014,016.6,     ,      ,44.580,142.963,0014,2022-10-31,9999-99-99
17076,興部　　　　　　　　,ｵｺｯﾍﾟ          ,OKOPPE                        ,　　　　　　　　　　,               ,                              ,44.470,143.108,0008,009.9,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
17112,紋別　　　　　　　　,ﾓﾝﾍﾞﾂ          ,MOMBETSU                      ,紋別　　　　　　　　,ﾓﾝﾍﾞﾂ          ,MOMBETSU                      ,44.345,143.355,0016,013.6,     ,      ,44.345,143.355,0016,2022-10-31,9999-99-99
17246,常呂　　　　　　　　,ﾄｺﾛ            ,TOKORO                        ,　　　　　　　　　　,               ,                              ,44.115,144.037,0003,010.0,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
17306,遠軽　　　　　　　　,ｴﾝｶﾞﾙ          ,ENGARU                        ,遠軽　　　　　　　　,ｴﾝｶﾞﾙ          ,ENGARU                        ,44.053,143.540,0080,010.0,     ,      ,44.053,143.540,0080,2022-10-31,9999-99-99
17341,網走　　　　　　　　,ｱﾊﾞｼﾘ          ,ABASHIRI                      ,網走　　　　　　　　,ｱﾊﾞｼﾘ          ,ABASHIRI                      ,44.017,144.278,0038,020.0,     ,      ,44.017,144.278,0038,2022-10-31,9999-99-99
17501,生田原　　　　　　　,ｲｸﾀﾊﾗ          ,IKUTAHARA                     ,　　　　　　　　　　,               ,                              ,43.917,143.532,0199,010.0,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
17521,北見　　　　　　　　,ｷﾀﾐ            ,KITAMI                        ,北見　　　　　　　　,ｷﾀﾐ            ,KITAMI                        ,43.777,143.842,0104,010.1,     ,      ,43.777,143.842,0104,2022-10-31,9999-99-99
17546,小清水　　　　　　　,ｺｼﾐｽﾞ          ,KOSHIMIZU                     ,　　　　　　　　　　,               ,                              ,43.842,144.485,0052,010.0,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
17596,留辺蘂　　　　　　　,ﾙﾍﾞｼﾍﾞ         ,RUBESHIBE                     ,留辺蘂　　　　　　　,ﾙﾍﾞｼﾍﾞ         ,RUBESHIBE                     ,43.742,143.450,0325,010.0,     ,      ,43.742,143.450,0325,2022-10-31,9999-99-99
17607,境野　　　　　　　　,ｻｶｲﾉ           ,SAKAINO                       ,　　　　　　　　　　,               ,                              ,43.707,143.643,0184,010.0,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
17631,美幌　　　　　　　　,ﾋﾞﾎﾛ           ,BIHORO                        ,　　　　　　　　　　,               ,                              ,43.770,144.172,0060,010.1,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
18038,羅臼　　　　　　　　,ﾗｳｽ            ,RAUSU                         ,羅臼　　　　　　　　,ﾗｳｽ            ,RAUSU                         ,44.023,145.187,0015,009.9,     ,      ,44.023,145.187,0015,2022-10-31,9999-99-99
18136,標津　　　　　　　　,ｼﾍﾞﾂ           ,SHIBETSU                      ,　　　　　　　　　　,               ,                              ,43.662,145.132,0003,009.9,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
18171,中標津　　　　　　　,ﾅｶｼﾍﾞﾂ         ,NAKASHIBETSU                  ,中標津　　　　　　　,ﾅｶｼﾍﾞﾂ         ,NAKASHIBETSU                  ,43.543,144.978,0050,010.1,     ,      ,43.543,144.978,0050,2022-10-31,9999-99-99
18256,別海　　　　　　　　,ﾍﾞﾂｶｲ          ,BETSUKAI                      ,別海　　　　　　　　,ﾍﾞﾂｶｲ          ,BETSUKAI                      ,43.382,145.118,0023,009.9,     ,      ,43.382,145.118,0023,2022-10-31,9999-99-99
18273,根室　　　　　　　　,ﾈﾑﾛ            ,NEMURO                        ,根室　　　　　　　　,ﾈﾑﾛ            ,NEMURO                        ,43.330,145.585,0025,029.2,     ,      ,43.330,145.585,0025,2022-10-31,9999-99-99
18281,納沙布　　　　　　　,ﾉｻｯﾌﾟ          ,NOSAPPU                       ,　　　　　　　　　　,               ,                              ,43.393,145.758,0012,009.9,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
18311,厚床　　　　　　　　,ｱｯﾄｺ           ,ATTOKO                        ,厚床　　　　　　　　,ｱｯﾄｺ           ,ATTOKO                        ,43.222,145.227,0041,009.9,     ,      ,43.222,145.227,0041,2022-10-31,9999-99-99
19021,川湯　　　　　　　　,ｶﾜﾕ            ,KAWAYU                        ,川湯　　　　　　　　,ｶﾜﾕ            ,KAWAYU                        ,43.617,144.457,0158,009.5,     ,      ,43.617,144.457,0158,2022-10-31,9999-99-99
19051,弟子屈　　　　　　　,ﾃｼｶｶﾞ          ,TESHIKAGA                     ,　　　　　　　　　　,               ,                              ,43.510,144.467,0170,009.9,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
19151,標茶　　　　　　　　,ｼﾍﾞﾁｬ          ,SHIBECHA                      ,標茶　　　　　　　　,ｼﾍﾞﾁｬ          ,SHIBECHA                      ,43.292,144.587,0020,009.9,     ,      ,43.292,144.587,0020,2022-10-31,9999-99-99
19311,榊町　　　　　　　　,ｻｶｷﾏﾁ          ,SAKAKIMACHI                   ,　　　　　　　　　　,               ,                              ,43.120,145.110,0002,009.6,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
19376,太田　　　　　　　　,ｵｵﾀ            ,OTA                           ,太田　　　　　　　　,ｵｵﾀ            ,OTA                           ,43.090,144.778,0085,009.9,     ,      ,43.090,144.778,0085,2022-10-31,9999-99-99
19416,白糠　　　　　　　　,ｼﾗﾇｶ           ,SHIRANUKA                     ,白糠　　　　　　　　,ｼﾗﾇｶ           ,SHIRANUKA                     ,42.970,144.062,0009,010.0,     ,      ,42.970,144.062,0009,2022-10-31,9999-99-99
19432,釧路　　　　　　　　,ｸｼﾛ            ,KUSHIRO                       ,釧路　　　　　　　　,ｸｼﾛ            ,KUSHIRO                       ,42.985,144.377,0005,066.1,     ,      ,42.985,144.377,0005,2022-10-31,9999-99-99
19451,知方学　　　　　　　,ﾁｯﾎﾟﾏﾅｲ        ,CHIPPOMANAI                   ,　　　　　　　　　　,               ,                              ,42.938,144.735,0149,010.1,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
20146,陸別　　　　　　　　,ﾘｸﾍﾞﾂ          ,RIKUBETSU                     ,陸別　　　　　　　　,ﾘｸﾍﾞﾂ          ,RIKUBETSU                     ,43.472,143.753,0210,010.0,     ,      ,43.472,143.753,0210,2022-10-31,9999-99-99
20186,ぬかびら源泉郷　　　,ﾇｶﾋﾞﾗｹﾞﾝｾﾝｷｮｳ  ,NUKABIRA-GENSENKYO            ,ぬかびら源泉郷　　　,ﾇｶﾋﾞﾗｹﾞﾝｾﾝｷｮｳ  ,NUKABIRA-GENSENKYO            ,43.367,143.192,0540,009.9,     ,      ,43.367,143.192,0540,2022-10-31,9999-99-99
20266,上士幌　　　　　　　,ｶﾐｼﾎﾛ          ,KAMISHIHORO                   ,上士幌　　　　　　　,ｶﾐｼﾎﾛ          ,KAMISHIHORO                   ,43.242,143.295,0287,010.1,     ,      ,43.242,143.295,0287,2022-10-31,9999-99-99
20341,本別　　　　　　　　,ﾎﾝﾍﾞﾂ          ,HOMBETSU                      ,本別　　　　　　　　,ﾎﾝﾍﾞﾂ          ,HOMBETSU                      ,43.132,143.600,0067,010.0,     ,      ,43.132,143.600,0067,2022-10-31,9999-99-99
20356,新得　　　　　　　　,ｼﾝﾄｸ           ,SHINTOKU                      ,新得　　　　　　　　,ｼﾝﾄｸ           ,SHINTOKU                      ,43.077,142.840,0178,009.9,     ,      ,43.077,142.840,0178,2022-10-31,9999-99-99
20432,帯広　　　　　　　　,ｵﾋﾞﾋﾛ          ,OBIHIRO                       ,帯広　　　　　　　　,ｵﾋﾞﾋﾛ          ,OBIHIRO                       ,42.922,143.212,0038,011.2,     ,      ,42.922,143.212,0038,2022-10-31,9999-99-99
20506,浦幌　　　　　　　　,ｳﾗﾎﾛ           ,URAHORO                       ,浦幌　　　　　　　　,ｳﾗﾎﾛ           ,URAHORO                       ,42.808,143.657,0020,010.0,     ,      ,42.808,143.657,0020,2022-10-31,9999-99-99
20601,上札内　　　　　　　,ｶﾐｻﾂﾅｲ         ,KAMISATSUNAI                  ,上札内　　　　　　　,ｶﾐｻﾂﾅｲ         ,KAMISATSUNAI                  ,42.642,143.097,0251,010.0,     ,      ,42.642,143.097,0251,2022-10-31,9999-99-99
20696,大樹　　　　　　　　,ﾀｲｷ            ,TAIKI                         ,大樹　　　　　　　　,ﾀｲｷ            ,TAIKI                         ,42.500,143.273,0087,010.0,     ,      ,42.500,143.273,0087,2022-10-31,9999-99-99
20751,広尾　　　　　　　　,ﾋﾛｵ            ,HIRO-O                        ,広尾　　　　　　　　,ﾋﾛｵ            ,HIRO-O                        ,42.293,143.317,0032,020.1,     ,      ,42.293,143.317,0032,2022-10-31,9999-99-99
21126,穂別　　　　　　　　,ﾎﾍﾞﾂ           ,HOBETSU                       ,穂別　　　　　　　　,ﾎﾍﾞﾂ           ,HOBETSU                       ,42.762,142.143,0056,009.9,     ,      ,42.762,142.143,0056,2022-10-31,9999-99-99
21161,大滝　　　　　　　　,ｵｵﾀｷ           ,OTAKI                         ,大滝　　　　　　　　,ｵｵﾀｷ           ,OTAKI                         ,42.670,141.078,0390,009.9,     ,      ,42.670,141.078,0390,2022-10-31,9999-99-99
21171,森野　　　　　　　　,ﾓﾘﾉ            ,MORINO                        ,　　　　　　　　　　,               ,                              ,42.630,141.247,0170,009.9,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
21187,苫小牧　　　　　　　,ﾄﾏｺﾏｲ          ,TOMAKOMAI                     ,苫小牧　　　　　　　,ﾄﾏｺﾏｲ          ,TOMAKOMAI                     ,42.623,141.547,0006,020.2,     ,      ,42.623,141.547,0006,2022-10-31,9999-99-99
21226,大岸　　　　　　　　,ｵｵｷｼ           ,OKISHI                        ,大岸　　　　　　　　,ｵｵｷｼ           ,OKISHI                        ,42.590,140.643,0004,010.1,     ,      ,42.590,140.643,0004,2022-10-31,9999-99-99
21297,伊達　　　　　　　　,ﾀﾞﾃ            ,DATE                          ,　　　　　　　　　　,               ,                              ,42.475,140.848,0003,010.0,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
21323,室蘭　　　　　　　　,ﾑﾛﾗﾝ           ,MURORAN                       ,室蘭　　　　　　　　,ﾑﾛﾗﾝ           ,MURORAN                       ,42.312,140.975,0040,018.4,     ,      ,42.312,140.975,0040,2022-10-31,9999-99-99
22036,日高　　　　　　　　,ﾋﾀﾞｶ           ,HIDAKA                        ,日高　　　　　　　　,ﾋﾀﾞｶ           ,HIDAKA                        ,42.877,142.442,0280,010.0,     ,      ,42.877,142.442,0280,2022-10-31,9999-99-99
22141,日高門別　　　　　　,ﾋﾀﾞｶﾓﾝﾍﾞﾂ      ,HIDAKA-MOMBETSU               ,　　　　　　　　　　,               ,                              ,42.497,142.053,0047,009.9,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
22241,静内　　　　　　　　,ｼｽﾞﾅｲ          ,SHIZUNAI                      ,静内　　　　　　　　,ｼｽﾞﾅｲ          ,SHIZUNAI                      ,42.343,142.362,0010,009.9,     ,      ,42.343,142.362,0010,2022-10-31,9999-99-99
22306,中杵臼　　　　　　　,ﾅｶｷﾈｳｽ         ,NAKAKINEUSU                   ,中杵臼　　　　　　　,ﾅｶｷﾈｳｽ         ,NAKAKINEUSU                   ,42.223,142.948,0098,010.0,     ,      ,42.223,142.948,0098,2022-10-31,9999-99-99
22327,浦河　　　　　　　　,ｳﾗｶﾜ           ,URAKAWA                       ,浦河　　　　　　　　,ｳﾗｶﾜ           ,URAKAWA                       ,42.162,142.777,0037,018.1,     ,      ,42.162,142.777,0037,2022-10-31,9999-99-99
22391,えりも岬　　　　　　,ｴﾘﾓﾐｻｷ         ,ERIMOMISAKI                   ,　　　　　　　　　　,               ,                              ,41.925,143.243,0063,008.1,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
23031,長万部　　　　　　　,ｵｼｬﾏﾝﾍﾞ        ,OSHAMAMBE                     ,長万部　　　　　　　,ｵｼｬﾏﾝﾍﾞ        ,OSHAMAMBE                     ,42.517,140.373,0006,010.0,     ,      ,42.517,140.373,0006,2022-10-31,9999-99-99
23086,八雲　　　　　　　　,ﾔｸﾓ            ,YAKUMO                        ,八雲　　　　　　　　,ﾔｸﾓ            ,YAKUMO                        ,42.252,140.272,0008,009.9,     ,      ,42.252,140.272,0008,2022-10-31,9999-99-99
23206,川汲　　　　　　　　,ｶｯｸﾐ           ,KAKKUMI                       ,　　　　　　　　　　,               ,                              ,41.905,140.970,0025,010.1,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
23226,北斗　　　　　　　　,ﾎｸﾄ            ,HOKUTO                        ,　　　　　　　　　　,               ,                              ,41.887,140.653,0025,010.0,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
23232,函館　　　　　　　　,ﾊｺﾀﾞﾃ          ,HAKODATE                      ,函館　　　　　　　　,ﾊｺﾀﾞﾃ          ,HAKODATE                      ,41.817,140.753,0035,025.9,     ,      ,41.817,140.753,0035,2022-10-31,9999-99-99
23326,木古内　　　　　　　,ｷｺﾅｲ           ,KIKONAI                       ,　　　　　　　　　　,               ,                              ,41.680,140.437,0010,009.9,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
23376,松前　　　　　　　　,ﾏﾂﾏｴ           ,MATSUMAE                      ,　　　　　　　　　　,               ,                              ,41.423,140.087,0030,010.1,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
24051,今金　　　　　　　　,ｲﾏｶﾈ           ,IMAKANE                       ,今金　　　　　　　　,ｲﾏｶﾈ           ,IMAKANE                       ,42.428,140.008,0019,010.0,     ,      ,42.428,140.008,0019,2022-10-31,9999-99-99
24101,奥尻　　　　　　　　,ｵｸｼﾘ           ,OKUSHIRI                      ,　　　　　　　　　　,               ,                              ,42.248,139.557,0005,009.9,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
24201,鶉　　　　　　　　　,ｳｽﾞﾗ           ,UZURA                         ,鶉　　　　　　　　　,ｳｽﾞﾗ           ,UZURA                         ,41.930,140.312,0053,010.0,     ,      ,41.930,140.312,0053,2022-10-31,9999-99-99
24217,江差　　　　　　　　,ｴｻｼ            ,ESASHI                        ,江差　　　　　　　　,ｴｻｼ            ,ESASHI                        ,41.867,140.123,0004,019.5,     ,      ,41.867,140.123,0004,2022-10-31,9999-99-99
31001,大間　　　　　　　　,ｵｵﾏ            ,OMA                           ,大間　　　　　　　　,ｵｵﾏ            ,OMA                           ,41.527,140.912,0014,009.9,     ,      ,41.527,140.912,0014,2022-10-31,9999-99-99
31111,むつ　　　　　　　　,ﾑﾂ             ,MUTSU                         ,むつ　　　　　　　　,ﾑﾂ             ,MUTSU                         ,41.283,141.210,0003,011.1,     ,      ,41.283,141.210,0003,2022-10-31,9999-99-99
31136,今別　　　　　　　　,ｲﾏﾍﾞﾂ          ,IMABETSU                      ,今別　　　　　　　　,ｲﾏﾍﾞﾂ          ,IMABETSU                      ,41.180,140.482,0030,010.0,     ,      ,41.180,140.482,0030,2022-10-31,9999-99-99
31156,脇野沢　　　　　　　,ﾜｷﾉｻﾜ          ,WAKINOSAWA                    ,脇野沢　　　　　　　,ﾜｷﾉｻﾜ          ,WAKINOSAWA                    ,41.145,140.822,0015,010.0,     ,      ,41.145,140.822,0015,2022-10-31,9999-99-99
31186,市浦　　　　　　　　,ｼｳﾗ            ,SHIURA                        ,　　　　　　　　　　,               ,                              ,41.057,140.347,0020,009.9,     ,      ,      ,       ,    ,2022-10-31,9999-99-99
31296,五所川原　　　　　　,ｺﾞｼｮｶﾞﾜﾗ       ,GOSHOGAWARA                   ,五所川原　　　　　　,ｺﾞｼｮｶﾞﾜﾗ       ,GOSHOGAWARA                   ,40.808,140.458,0009,009.9,     ,      ,40.808,140.458,0009,2022-10-31,9999-99-99
31312,青森　　　　　　　　,ｱｵﾓﾘ           ,AOMORI                        ,青森　　　　　　　　,ｱｵﾓﾘ           ,AOMORI                        ,40.822,140.768,0003,031.8,     ,      ,40.822,140.768,0003,2022-10-31,9999-99-99
